Offset(P)            #Ptr   #Hnd Access Name
0x000000013cc44e20     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\7474c31d.fileicons[1].png
0x000000013cc454f0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\1bbb05cf.icon-disabled-members-alert[1].png
0x000000013cc45d10     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\3[1].png
0x000000013cc4b950     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\7[1].png
0x000000013cc4c230     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\4[1].png
0x000000013cc4c5e0     15      0 R--rw- \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Internet Explorer\DOMStore\JXZW14KX\tenos.jandi[1].xml
0x000000013cc4d070      6      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\UIAnimation.dll
0x000000013cc4d4c0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\e47fd7c6.icon_dropbox[1].png
0x000000013cc4d710     33      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cc4e070     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\9eb79c8f.favicon[1].png
0x000000013cc50a10     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\57f89bba.icon_network_error[1].png
0x000000013cc50b70     15      0 R--rwd \Device\HarddiskVolume1\Windows\System32\RacRules.xml
0x000000013cc51640      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wdc.dll
0x000000013cc518f0     13      0 R--rwd \Device\HarddiskVolume1\Windows\System32\clb.dll
0x000000013cc51c10      1      1 RW-rwd \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db
0x000000013cc51f20      2      1 R--rwd \Device\HarddiskVolume2\
0x000000013cc52410      3      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\Wpc.dll
0x000000013cc53070     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\de944624.icon_loading[1].gif
0x000000013cc53920     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\c0c456c5.icon_google_drive[1].png
0x000000013cc53dc0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\d35f94b1.favicon_noti[1].png
0x000000013cc54070      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cc549b0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\343a3c59.jandi-logo-200x200[1].png
0x000000013cc68510     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\464f7b58.tutorial-welcome[1].png
0x000000013cc68a50      3      2 ------ \Device\WUDFLpcDevice\HostProcess-f55eda63-296b-4a4c-b1c9-aa4247f19d90
0x000000013cc68dd0     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cc6a070      2      1 R--rwd \Device\HarddiskVolume1\
0x000000013cc6f300      9      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\t2embed.dll
0x000000013cc70ca0      4      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\arialbd.ttf
0x000000013cc71590     15      0 R--rw- \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\mixpanel-2.2.min[1].js
0x000000013cc71c70     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\5[1].svg
0x000000013cc77dd0     15      1 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\ko-KR\d2d1.dll.mui
0x000000013cc78790     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\4[1].svg
0x000000013cc7cc70     16      0 R--r-d \Device\HarddiskVolume1䜰ś￿gramData\Microsoft\RAC\Temp\sqlD6FD
0x000000013cc7d7d0     14      0 R--r-d \Device\HarddiskVolume1\Windows\System32\SearchFolder.dll
0x000000013cc80830     11      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\imgutil.dll
0x000000013cc80dd0     15      0 R--rw- \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\2966f1de.jandi-icon[1].eot
0x000000013cc81070     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\8aed12a4.fileicon_unshared[1].png
0x000000013cc81390     10      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\ariali.ttf
0x000000013cc82f20     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\20[1].svg
0x000000013cc83070     16      0 ------ \Device\HarddiskVolume1\Windows\System32\C_20127.NLS
0x000000013cc835b0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\301d79a7.fileicon_etc[1].png
0x000000013cc84070     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\60d37ac9.file-search-no-result[1].png
0x000000013cc842e0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\d0a88417.message-search-no-result[1].png
0x000000013cc86930     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\profile_80[1].png
0x000000013cc8ab60      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\ko-KR\wshtcpip.dll.mui
0x000000013cc94b70     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\9220701b.flags[1].png
0x000000013cc95530     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\21[1].svg
0x000000013cc95a60     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\1[1].svg
0x000000013cc975d0     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\17[1].svg
0x000000013cc97a20     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\15[1].svg
0x000000013cc97c10     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\25[1].svg
0x000000013cc97f20     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\d2de158a.help-enter-a-message[1].png
0x000000013cc982c0     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\14[1].svg
0x000000013cc98720     12      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\12[1].svg
0x000000013cc989d0      9      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\11[1].svg
0x000000013cc98d70     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\2[1].svg
0x000000013cc98f20     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\23[1].svg
0x000000013cc99370     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\18[1].svg
0x000000013cc99620      5      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\13[1].svg
0x000000013cc9a310     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\16[1].svg
